bcc Te -- Hedin-Lundqvist LDA                                                   
INPUT  IT=137 SPIN=1 NTYPE=  2
 -3.300000  3.300000  3.300000
  3.300000 -3.300000  3.300000
  3.300000  3.300000 -3.300000
    1  601  1.700000  0.015000    1
  0.000000  0.000000  0.000000
 0.1981601876148D+01 0.1981322518295D+01 0.1981038899624D+01 0.1980750954597D+01
 0.1980458616653D+01 0.1980161818190D+01 0.1979860490550D+01 0.1979554564001D+01
 0.1979243967720D+01 0.1978928629776D+01 0.1978608477113D+01 0.1978283435528D+01
 0.1977953429659D+01 0.1977618382959D+01 0.1977278217683D+01 0.1976932854867D+01
 0.1976582214304D+01 0.1976226214532D+01 0.1975864772806D+01 0.1975497805083D+01
 0.1975125225996D+01 0.1974746948837D+01 0.1974362885535D+01 0.1973972946628D+01
 0.1973577041250D+01 0.1973175077100D+01 0.1972766960422D+01 0.1972352595982D+01
 0.1971931887045D+01 0.1971504735345D+01 0.1971071041068D+01 0.1970630702819D+01
 0.1970183617604D+01 0.1969729680796D+01 0.1969268786117D+01 0.1968800825603D+01
 0.1968325689581D+01 0.1967843266641D+01 0.1967353443606D+01 0.1966856105504D+01
 0.1966351135539D+01 0.1965838415061D+01 0.1965317823534D+01 0.1964789238508D+01
 0.1964252535586D+01 0.1963707588393D+01 0.1963154268542D+01 0.1962592445601D+01
 0.1962021987063D+01 0.1961442758307D+01 0.1960854622568D+01 0.1960257440897D+01
 0.1959651072129D+01 0.1959035372846D+01 0.1958410197337D+01 0.1957775397563D+01
 0.1957130823120D+01 0.1956476321196D+01 0.1955811736535D+01 0.1955136911395D+01
 0.1954451685507D+01 0.1953755896034D+01 0.1953049377529D+01 0.1952331961892D+01
 0.1951603478323D+01 0.1950863753285D+01 0.1950112610450D+01 0.1949349870659D+01
 0.1948575351874D+01 0.1947788869130D+01 0.1946990234485D+01 0.1946179256975D+01
 0.1945355742562D+01 0.1944519494083D+01 0.1943670311198D+01 0.1942807990339D+01
 0.1941932324657D+01 0.1941043103968D+01 0.1940140114697D+01 0.1939223139821D+01
 0.1938291958817D+01 0.1937346347600D+01 0.1936386078466D+01 0.1935410920033D+01
 0.1934420637181D+01 0.1933414990987D+01 0.1932393738670D+01 0.1931356633520D+01
 0.1930303424839D+01 0.1929233857872D+01 0.1928147673744D+01 0.1927044609393D+01
 0.1925924397497D+01 0.1924786766410D+01 0.1923631440088D+01 0.1922458138019D+01
 0.1921266575153D+01 0.1920056461823D+01 0.1918827503674D+01 0.1917579401587D+01
 0.1916311851602D+01 0.1915024544837D+01 0.1913717167416D+01 0.1912389400381D+01
 0.1911040919615D+01 0.1909671395759D+01 0.1908280494127D+01 0.1906867874624D+01
 0.1905433191656D+01 0.1903976094048D+01 0.1902496224951D+01 0.1900993221756D+01
 0.1899466716002D+01 0.1897916333284D+01 0.1896341693163D+01 0.1894742409068D+01
 0.1893118088204D+01 0.1891468331454D+01 0.1889792733283D+01 0.1888090881640D+01
 0.1886362357856D+01 0.1884606736544D+01 0.1882823585501D+01 0.1881012465600D+01
 0.1879172930689D+01 0.1877304527486D+01 0.1875406795471D+01 0.1873479266783D+01
 0.1871521466108D+01 0.1869532910573D+01 0.1867513109634D+01 0.1865461564968D+01
 0.1863377770359D+01 0.1861261211587D+01 0.1859111366315D+01 0.1856927703974D+01
 0.1854709685650D+01 0.1852456763968D+01 0.1850168382977D+01 0.1847843978032D+01
 0.1845482975679D+01 0.1843084793538D+01 0.1840648840182D+01 0.1838174515024D+01
 0.1835661208198D+01 0.1833108300436D+01 0.1830515162958D+01 0.1827881157347D+01
 0.1825205635434D+01 0.1822487939179D+01 0.1819727400556D+01 0.1816923341435D+01
 0.1814075073464D+01 0.1811181897956D+01 0.1808243105772D+01 0.1805257977208D+01
 0.1802225781886D+01 0.1799145778635D+01 0.1796017215387D+01 0.1792839329069D+01
 0.1789611345491D+01 0.1786332479247D+01 0.1783001933610D+01 0.1779618900431D+01
 0.1776182560044D+01 0.1772692081169D+01 0.1769146620821D+01 0.1765545324220D+01
 0.1761887324710D+01 0.1758171743672D+01 0.1754397690450D+01 0.1750564262278D+01
 0.1746670544211D+01 0.1742715609061D+01 0.1738698517339D+01 0.1734618317201D+01
 0.1730474044405D+01 0.1726264722265D+01 0.1721989361622D+01 0.1717646960812D+01
 0.1713236505652D+01 0.1708756969424D+01 0.1704207312872D+01 0.1699586484209D+01
 0.1694893419133D+01 0.1690127040846D+01 0.1685286260092D+01 0.1680369975203D+01
 0.1675377072152D+01 0.1670306424623D+01 0.1665156894093D+01 0.1659927329922D+01
 0.1654616569463D+01 0.1649223438181D+01 0.1643746749793D+01 0.1638185306417D+01
 0.1632537898738D+01 0.1626803306199D+01 0.1620980297200D+01 0.1615067629319D+01
 0.1609064049556D+01 0.1602968294591D+01 0.1596779091070D+01 0.1590495155903D+01
 0.1584115196599D+01 0.1577637911608D+01 0.1571061990704D+01 0.1564386115381D+01
 0.1557608959285D+01 0.1550729188664D+01 0.1543745462861D+01 0.1536656434818D+01
 0.1529460751634D+01 0.1522157055131D+01 0.1514743982473D+01 0.1507220166812D+01
 0.1499584237966D+01 0.1491834823141D+01 0.1483970547690D+01 0.1475990035911D+01
 0.1467891911883D+01 0.1459674800353D+01 0.1451337327658D+01 0.1442878122703D+01
 0.1434295817972D+01 0.1425589050606D+01 0.1416756463511D+01 0.1407796706538D+01
 0.1398708437697D+01 0.1389490324449D+01 0.1380141045024D+01 0.1370659289837D+01
 0.1361043762919D+01 0.1351293183456D+01 0.1341406287347D+01 0.1331381828872D+01
 0.1321218582381D+01 0.1310915344102D+01 0.1300470933959D+01 0.1289884197540D+01
 0.1279154008046D+01 0.1268279268421D+01 0.1257258913445D+01 0.1246091912033D+01
 0.1234777269478D+01 0.1223314029928D+01 0.1211701278785D+01 0.1199938145371D+01
 0.1188023805487D+01 0.1175957484283D+01 0.1163738458978D+01 0.1151366061950D+01
 0.1138839683629D+01 0.1126158775811D+01 0.1113322854737D+01 0.1100331504655D+01
 0.1087184381085D+01 0.1073881214659D+01 0.1060421814577D+01 0.1046806072754D+01
 0.1033033967486D+01 0.1019105567934D+01 0.1005021038018D+01 0.9907806412813D+00
 0.9763847450309D+00 0.9618338256411D+00 0.9471284729601D+00 0.9322693961173D+00
 0.9172574282244D+00 0.9020935327628D+00 0.8867788086084D+00 0.8713144970858D+00
 0.8557019873465D+00 0.8399428241872D+00 0.8240387138051D+00 0.8079915324854D+00
 0.7918033327475D+00 0.7754763530127D+00 0.7590130241349D+00 0.7424159801348D+00
 0.7256880651456D+00 0.7088323452669D+00 0.6918521158548D+00 0.6747509146243D+00
 0.6575325291791D+00 0.6402010114443D+00 0.6227606852987D+00 0.6052161624570D+00
 0.5875723500792D+00 0.5698344681225D+00 0.5520080568610D+00 0.5340989959529D+00
 0.5161135116809D+00 0.4980581980748D+00 0.4799400238502D+00 0.4617663561636D+00
 0.4435449673852D+00 0.4252840620734D+00 0.4069922840604D+00 0.3886787478045D+00
 0.3703530460665D+00 0.3520252871044D+00 0.3337061036797D+00 0.3154066973623D+00
 0.2971388496041D+00 0.2789149749255D+00 0.2607481340627D+00 0.2426520974943D+00
 0.2246413604547D+00 0.2067312171724D+00 0.1889377767955D+00 0.1712780487468D+00
 0.1537699565868D+00
  390
-0.9553687455290D+00-0.2203240016481D-32-0.7852225123270D+01-0.3420581117906D-18
-0.3048002191855D+01-0.3283375674731D-18-0.5561434230581D+01 0.4641511959643D-18
-0.2875844367226D+01 0.3023137376912D-18-0.2723914608539D+01-0.3700531555226D-19
-0.1083475441330D+01 0.7480424917550D-18-0.3020887207476D+01-0.1020125403294D-17
-0.4854397149023D+00-0.1032065582973D-17-0.8490507705943D+00 0.1749050095609D-17
-0.4155916258731D+00-0.2252327971397D-18-0.1238302072857D+01-0.9565731993862D-18
-0.4609253960991D+00-0.1003065269408D-17-0.8083215721875D+00 0.1320810391936D-17
-0.4805071065508D+00-0.5273060571774D-18-0.2358236680481D+00 0.9008154601753D-18
-0.2054665054806D+00 0.2541715831323D-18-0.1795888123276D+00 0.7343824518323D-18
-0.2472809829272D-01-0.1200887754023D-17-0.2323838468425D-01 0.6512476972116D-19
-0.2420638969666D+00 0.2971923433458D-17-0.6030184455811D-01-0.1536744559182D-17
 0.4807100699964D-01-0.1020420433268D-17 0.2472599238885D-01 0.2635168205001D-17
-0.1630628313252D+00-0.3460103779002D-17 0.1020481715221D+00-0.1457169805417D-17
-0.1102954329802D+00-0.1363825319897D-17 0.1285714604316D+00 0.1253987054254D-17
-0.2481218933347D-01 0.1426654108345D-17 0.1385374241345D+00-0.2386964104386D-17
 0.3465408318508D-01-0.1050925053363D-18 0.6933316105255D-01 0.1336238515520D-17
-0.5045593251640D-01 0.3865926913647D-18 0.6901732454639D-01-0.5066392277409D-18
