 0.1022896569339D+03 0.1022370853138D+03 0.1021829224583D+03 0.1021271226371D+03
 0.1020696390116D+03 0.1020104236240D+03 0.1019494273869D+03 0.1018866000745D+03
 0.1018218903144D+03 0.1017552455814D+03 0.1016866121921D+03 0.1016159353011D+03
 0.1015431588986D+03 0.1014682258099D+03 0.1013910776959D+03 0.1013116550559D+03
 0.1012298972315D+03 0.1011457424126D+03 0.1010591276452D+03 0.1009699888406D+03
 0.1008782607863D+03 0.1007838771592D+03 0.1006867705395D+03 0.1005868724271D+03
 0.1004841132585D+03 0.1003784224258D+03 0.1002697282965D+03 0.1001579582341D+03
 0.1000430386202D+03 0.9992489487586D+02 0.9980345148447D+02 0.9967863201374D+02
 0.9955035913753D+02 0.9941855465681D+02 0.9928313951942D+02 0.9914403383816D+02
 0.9900115690679D+02 0.9885442721341D+02 0.9870376245088D+02 0.9854907952354D+02
 0.9839029455014D+02 0.9822732286208D+02 0.9806007899699D+02 0.9788847668700D+02
 0.9771242884156D+02 0.9753184752455D+02 0.9734664392583D+02 0.9715672832695D+02
 0.9696201006179D+02 0.9676239747216D+02 0.9655779785951D+02 0.9634811743337D+02
 0.9613326125840D+02 0.9591313320110D+02 0.9568763587899D+02 0.9545667061398D+02
 0.9522013739374D+02 0.9497793484338D+02 0.9472996021244D+02 0.9447610938004D+02
 0.9421627688405D+02 0.9395035597763D+02 0.9367823871946D+02 0.9339981610082D+02
 0.9311497821563D+02 0.9282361447535D+02 0.9252561387348D+02 0.9222086529845D+02
 0.9190925789659D+02 0.9159068147852D+02 0.9126502696520D+02 0.9093218685897D+02
 0.9059205572799D+02 0.9024453067919D+02 0.8988951179927D+02 0.8952690252873D+02
 0.8915660994195D+02 0.8877854489259D+02 0.8839262199971D+02 0.8799875943935D+02
 0.8759687853503D+02 0.8718690313515D+02 0.8676875880797D+02 0.8634237188239D+02
 0.8590766841721D+02 0.8546457315804D+02 0.8501300862751D+02 0.8455289441514D+02
 0.8408414680688D+02 0.8360667881517D+02 0.8312040069503D+02 0.8262522093608D+02
 0.8212104774086D+02 0.8160779088885D+02 0.8108536392613D+02 0.8055368651199D+02
 0.8001268683013D+02 0.7946230387193D+02 0.7890248951568D+02 0.7833321022500D+02
 0.7775444834186D+02 0.7716620283546D+02 0.7656848954832D+02 0.7596134084288D+02
 0.7534480475888D+02 0.7471894361908D+02 0.7408383226169D+02 0.7343955586193D+02
 0.7278620758586D+02 0.7212388605474D+02 0.7145269292496D+02 0.7077273056218D+02
 0.7008410017228D+02 0.6938690034182D+02 0.6868122639233D+02 0.6796717043571D+02
 0.6724482254081D+02 0.6651427276842D+02 0.6577561443492D+02 0.6502894813801D+02
 0.6427438678055D+02 0.6351206080177D+02 0.6274212367260D+02 0.6196475649674D+02
 0.6118017166570D+02 0.6038861419259D+02 0.5959036091056D+02 0.5878571641135D+02
 0.5797500677948D+02 0.5715857084042D+02 0.5633675128340D+02 0.5550988620937D+02
 0.5467830417974D+02 0.5384232288817D+02 0.5300225373113D+02 0.5215841057361D+02
 0.5131112310504D+02 0.5046075113417D+02 0.4960769934571D+02 0.4875242868573D+02
 0.4789546416422D+02 0.4703739642943D+02 0.4617887816334D+02 0.4532061391984D+02
 0.4446334552926D+02 0.4360783255557D+02 0.4275483048203D+02 0.4190506654728D+02
 0.4105921605018D+02 0.4021787923030D+02 0.3938156143864D+02 0.3855065672616D+02
 0.3772543730286D+02 0.3690604886195D+02 0.3609251377073D+02 0.3528474180608D+02
 0.3448254966831D+02 0.3368568834003D+02 0.3289387816747D+02 0.3210684952400D+02
 0.3132438656257D+02 0.3054636970446D+02 0.2977281080872D+02 0.2900387410093D+02
 0.2823987428060D+02 0.2748124644176D+02 0.2672848550764D+02 0.2598206380351D+02
 0.2524234115461D+02 0.2450949624790D+02 0.2378349519461D+02 0.2306411593921D+02
 0.2235101697476D+02 0.2164383657176D+02 0.2094229125757D+02 0.2024625910154D+02
 0.1955582910571D+02 0.1887132179341D+02 0.1819327705242D+02 0.1752242569342D+02
 0.1685964232173D+02 0.1620589746570D+02 0.1556220213849D+02 0.1492956187843D+02
 0.1430892890587D+02 0.1370116910540D+02 0.1310702916480D+02 0.1252712055188D+02
 0.1196190376471D+02 0.1141168931604D+02 0.1087663760363D+02 0.1035677440546D+02
 0.9852002500246D+01 0.9362127344008D+01 0.8886875027775D+01 0.8425923069089D+01
 0.7978918132917D+01 0.7545505820484D+01 0.7125341386551D+01 0.6718114043699D+01
 0.6323544565993D+01 0.5941397324439D+01 0.5571464412248D+01 0.5213566582596D+01
 0.4867525958545D+01 0.4533164478558D+01 0.4210277127584D+01 0.3898641411089D+01
 0.3598004380833D+01 0.3308111208897D+01 0.3028706985393D+01 0.2759576250276D+01
 0.2500546443108D+01 0.2251524295393D+01 0.2012495053299D+01 0.1783560700779D+01
 0.1564950461104D+01 0.1357073953280D+01 0.1160539844784D+01
 0.1999995497370D+01 0.1999995360242D+01 0.1999995218938D+01 0.1999995073330D+01
 0.1999994923288D+01 0.1999994768677D+01 0.1999994609356D+01 0.1999994445184D+01
 0.1999994276011D+01 0.1999994101687D+01 0.1999993922053D+01 0.1999993736949D+01
 0.1999993546207D+01 0.1999993349656D+01 0.1999993147119D+01 0.1999992938414D+01
