bcc Sb -- Hedin-Lundqvist LDA                                                   
INPUT  IT=231 SPIN=1 NTYPE=  2
 -3.000000  3.000000  3.000000
  3.000000 -3.000000  3.000000
  3.000000  3.000000 -3.000000
    1  435  1.700000  0.030000    1
  0.000000  0.000000  0.000000
 0.1988393161932D+01 0.1988038702426D+01 0.1987673388506D+01 0.1987296886011D+01
 0.1986908850388D+01 0.1986508926362D+01 0.1986096747601D+01 0.1985671936357D+01
 0.1985234103112D+01 0.1984782846200D+01 0.1984317751419D+01 0.1983838391634D+01
 0.1983344326366D+01 0.1982835101362D+01 0.1982310248158D+01 0.1981769283625D+01
 0.1981211709497D+01 0.1980637011889D+01 0.1980044660792D+01 0.1979434109560D+01
 0.1978804794371D+01 0.1978156133676D+01 0.1977487527630D+01 0.1976798357496D+01
 0.1976087985043D+01 0.1975355751908D+01 0.1974600978951D+01 0.1973822965577D+01
 0.1973020989045D+01 0.1972194303746D+01 0.1971342140460D+01 0.1970463705590D+01
 0.1969558180366D+01 0.1968624720028D+01 0.1967662452973D+01 0.1966670479884D+01
 0.1965647872820D+01 0.1964593674283D+01 0.1963506896247D+01 0.1962386519160D+01
 0.1961231490911D+01 0.1960040725760D+01 0.1958813103233D+01 0.1957547466984D+01
 0.1956242623612D+01 0.1954897341446D+01 0.1953510349285D+01 0.1952080335095D+01
 0.1950605944666D+01 0.1949085780226D+01 0.1947518399003D+01 0.1945902311747D+01
 0.1944235981197D+01 0.1942517820506D+01 0.1940746191606D+01 0.1938919403498D+01
 0.1937035710624D+01 0.1935093310919D+01 0.1933090344057D+01 0.1931024889526D+01
 0.1928894964655D+01 0.1926698522593D+01 0.1924433450213D+01 0.1922097565965D+01
 0.1919688617653D+01 0.1917204280161D+01 0.1914642153092D+01 0.1911999758367D+01
 0.1909274537724D+01 0.1906463850185D+01 0.1903564969407D+01 0.1900575081026D+01
 0.1897491279856D+01 0.1894310567098D+01 0.1891029847402D+01 0.1887645925940D+01
 0.1884155505325D+01 0.1880555182561D+01 0.1876841445821D+01 0.1873010671281D+01
 0.1869059119768D+01 0.1864982933487D+01 0.1860778132548D+01 0.1856440611614D+01
 0.1851966136310D+01 0.1847350339818D+01 0.1842588719199D+01 0.1837676631957D+01
 0.1832609292299D+01 0.1827381767719D+01 0.1821988975223D+01 0.1816425677975D+01
 0.1810686481552D+01 0.1804765830702D+01 0.1798658005673D+01 0.1792357119191D+01
 0.1785857112905D+01 0.1779151754662D+01 0.1772234635198D+01 0.1765099165814D+01
 0.1757738575342D+01 0.1750145908440D+01 0.1742314022958D+01 0.1734235588902D+01
 0.1725903086450D+01 0.1717308805784D+01 0.1708444845783D+01 0.1699303115091D+01
 0.1689875331658D+01 0.1680153025200D+01 0.1670127537913D+01 0.1659790028632D+01
 0.1649131474905D+01 0.1638142679209D+01 0.1626814272730D+01 0.1615136724026D+01
 0.1603100344748D+01 0.1590695301391D+01 0.1577911623124D+01 0.1564739217195D+01
 0.1551167879548D+01 0.1537187313955D+01 0.1522787146191D+01 0.1507956947953D+01
 0.1492686254100D+01 0.1476964592677D+01 0.1460781506383D+01 0.1444126588326D+01
 0.1426989508469D+01 0.1409360057402D+01 0.1391228177181D+01 0.1372584013437D+01
 0.1353417953165D+01 0.1333720686078D+01 0.1313483247973D+01 0.1292697094628D+01
 0.1271354152762D+01 0.1249446905203D+01 0.1226968450889D+01 0.1203912606576D+01
 0.1180273974149D+01 0.1156048059439D+01 0.1131231352739D+01 0.1105821466908D+01
 0.1079817227610D+01 0.1053218838496D+01 0.1026027985709D+01 0.9982480266646D+00
 0.9698841135538D+00 0.9409434138817D+00 0.9114352479084D+00 0.8813713480592D+00
 0.8507660123140D+00 0.8196364043361D+00 0.7880027252785D+00 0.7558885590058D+00
 0.7233210634878D+00 0.6903313734433D+00 0.6569548143550D+00 0.6232313808946D+00
