bcc Te -- Hedin-Lundqvist LDA                                                   
INPUT  IT=262 SPIN=1 NTYPE=  2
 -3.800000  3.800000  3.800000
  3.800000 -3.800000  3.800000
  3.800000  3.800000 -3.800000
    1  435  2.200000  0.030000    1
  0.000000  0.000000  0.000000
 0.1243088936270D+02 0.1188456211364D+02 0.1135336118102D+02 0.1083714503578D+02
 0.1033568766621D+02 0.9848704079432D+01 0.9375875329914D+01 0.8916871295538D+01
 0.8471369699355D+01 0.8039070322404D+01 0.7619703520084D+01 0.7213032265142D+01
 0.6818846498741D+01 0.6436948049797D+01 0.6067124867767D+01 0.5709116135687D+01
 0.5362576107729D+01 0.5027053008545D+01 0.4702005421619D+01 0.4386875059300D+01
 0.4081216217759D+01 0.3784850371144D+01 0.3497954186975D+01 0.3220877006865D+01
 0.2954027752396D+01 0.2697874721655D+01 0.2452948684338D+01 0.2219846851027D+01
 0.1999238652149D+01 0.1791873319906D+01 0.1598589298716D+01
    2  435  1.200000  0.030000    3
  0.000000  0.500000  0.500000
  0.500000  0.500000  0.000000
  0.500000  0.000000  0.500000
 0.1999991890016D+01 0.1999991643012D+01 0.1999991388484D+01 0.1999991126204D+01
 0.1999990855935D+01 0.1999990577434D+01 0.1999990290451D+01 0.1999989994726D+01
 0.1999989689994D+01 0.1999989375980D+01 0.1999989052402D+01 0.1999988718969D+01
 0.1999988375379D+01 0.1999988021325D+01 0.1999987656486D+01 0.1999987280536D+01
 0.1999986893135D+01 0.1999986493934D+01 0.1999986082575D+01 0.1999985658687D+01
 0.1999985221888D+01 0.1999984771785D+01 0.1999984307973D+01 0.1999983830035D+01
 0.1999983337540D+01 0.1999982830045D+01 0.1999982307093D+01 0.1999981768213D+01
 0.1999981212921D+01 0.1999980640716D+01 0.1999980051083D+01 0.1999979443492D+01
 0.1999978817396D+01 0.1999978172230D+01 0.1999977507415D+01 0.1999976822352D+01
 0.1999976116424D+01 0.1999975388996D+01 0.1999974639413D+01 0.1999973867000D+01
 0.1999973071062D+01 0.1999972250883D+01 0.1999971405724D+01 0.1999970534825D+01
 0.1999969637401D+01 0.1999968712645D+01 0.1999967759724D+01 0.1999966777781D+01
 0.1999965765932D+01 0.1999964723265D+01 0.1999963648843D+01 0.1999962541699D+01
 0.1999961400835D+01 0.1999960225226D+01 0.1999959013812D+01 0.1999957765503D+01
 0.1999956479176D+01 0.1999955153673D+01 0.1999953787800D+01 0.1999952380329D+01
 0.1999950929992D+01 0.1999949435485D+01 0.1999947895461D+01 0.1999946308534D+01
 0.1999944673277D+01 0.1999942988218D+01 0.1999941251839D+01 0.1999939462577D+01
 0.1999937618823D+01 0.1999935718916D+01 0.1999933761147D+01 0.1999931743754D+01
 0.1999929664920D+01 0.1999927522774D+01 0.1999925315389D+01 0.1999923040777D+01
 0.1999920696891D+01 0.1999918281621D+01 0.1999915792794D+01 0.1999913228169D+01
 0.1999910585438D+01 0.1999907862223D+01 0.1999905056071D+01 0.1999902164458D+01
 0.1999899184781D+01 0.1999896114357D+01 0.1999892950423D+01 0.1999889690132D+01
 0.1999886330548D+01 0.1999882868648D+01 0.1999879301316D+01 0.1999875625341D+01
 0.1999871837415D+01 0.1999867934127D+01 0.1999863911966D+01 0.1999859767309D+01
 0.1999855496428D+01 0.1999851095477D+01 0.1999846560497D+01 0.1999841887404D+01
 0.1999837071992D+01 0.1999832109929D+01 0.1999826996746D+01 0.1999821727843D+01
 0.1999816298477D+01 0.1999810703760D+01 0.1999804938657D+01 0.1999798997980D+01
 0.1999792876381D+01 0.1999786568351D+01 0.1999780068211D+01 0.1999773370111D+01
 0.1999766468022D+01 0.1999759355733D+01 0.1999752026841D+01 0.1999744474750D+01
 0.1999736692663D+01 0.1999728673574D+01 0.1999720410268D+01 0.1999711895305D+01
 0.1999703121022D+01 0.1999694079521D+01 0.1999684762665D+01 0.1999675162067D+01
 0.1999665269087D+01 0.1999655074820D+01 0.1999644570091D+01 0.1999633745444D+01
 0.1999622591137D+01 0.1999611097131D+01 0.1999599253078D+01 0.1999587048321D+01
